  Lines            Copies        Function name
      7719 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::fulfill::FulfillmentContext::select
      7700 (0.0%)      2 (0.0%)  rustc_target::asm::riscv::_DERIVE_rustc_serialize_Encodable_E_FOR_RiscVInlineAsmReg::<impl rustc_serialize::serialize::Encodable<__E> for rustc_target::asm::riscv::RiscVInlineAsmReg>::encode::{{closure}}
      7648 (0.0%)      2 (0.0%)  rustc_mir::util::graphviz::write_mir_fn_graphviz
      7642 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::region_infer::RegionInferenceContext::solve
      7639 (0.0%)      1 (0.0%)  <rustc_mir::transform::const_prop::ConstPropagator as rustc_middle::mir::visit::MutVisitor>::visit_statement
      7625 (0.0%)      5 (0.0%)  rustc_middle::ty::consts::kind::ConstKind::try_eval
      7593 (0.0%)     29 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::next
      7564 (0.0%)      1 (0.0%)  rustc_incremental::persist::fs::prepare_session_directory
      7548 (0.0%)      4 (0.0%)  <A as rustc_mir::dataflow::framework::Analysis>::into_engine
      7547 (0.0%)      1 (0.0%)  rustc_middle::ty::context::TyCtxt::create_global_ctxt
      7527 (0.0%)     20 (0.0%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_enum_variant
      7524 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::mutability_errors::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::report_mutability_error
      7522 (0.0%)      1 (0.0%)  polonius_engine::output::Output<T>::compute
